Location,Crime Type,Specific Incident Details,Time
Avtar Nagar,Snatching,A 22-year-old was robbed of his mobile phone by three men on a scooter.,Not specified
Badhowal (near Jagraon),Shootings / Organized Crime,"Firing at a luxury car showroom claimed by the Kaushal Chaudhary gang, whose shooter was later arrested by Jalandhar Police 1, 2.",End of January 2
Basti Sheikh,Snatching / Assault,"Gold earrings were snatched from an 80-year-old woman, leaving her injured.",Not specified
DAV College area / Pholriwal / Khambrra,Organized Crime / Shootings,"A firing incident occurred at Sudhir Sweets, linked to overseas gang networks.",Not specified
Gandhi Vanita Ashram,Suspicious Death,A 15-year-old girl was found dead in a bathroom shortly after her admission.,Not specified
Inter-state bus terminus,Snatching,"Numerous snatching incidents occur here, with criminals sometimes boarding moving buses to snatch gold chains from women.",Not specified
Ladowali Road,Theft / Eve-teasing,A college girl's phone was stolen. The area is also notorious for eve-teasing incidents targeting school and college girls.,Not specified
Law Gate Village Miherru (near Phagwara),Sexual Assault / Illegal Activities,A woman working as a caretaker was raped by a youth in a paying guest house. The police also frequently conduct checking drives in this area 3.,Not specified for the assault; police checking drives occur during late-night hours 3
Laxmipura,Theft,A bag containing cash and important documents was stolen.,Not specified
Lohian (Jalandhar Rural),Gang Rape & Physical Assault,A mother and daughter were subjected to an aggravated physical assault and gang rape at an isolated motor by four intruders who initially came with the intent to steal 4-6.,"Intervening night of the 23rd and 24th / Early morning 4, 5"
Maqsudan,Snatching / Grievous Assault,"A man was brutally attacked and had his wrist slit by snatchers attempting to steal his phone, leading to the amputation of his hand.",Not specified
Mehatpur,Drug-related,A local youth died from a suspected drug overdose.,Not specified
Model Town Market,Snatching,"The market has emerged as a highly vulnerable spot for women, with a large number of snatching incidents reported.",Not specified
Nagra village,Armed Robbery,"A man was followed by bike-borne criminals and robbed of ₹40,000 at gunpoint.",Not specified
Nehru Garden,Eve-teasing,High rates of eve-teasing are reported outside the city's biggest government girls' school.,Not specified
Ram Nagar railway crossing,Robbery / Assault,An auto-rickshaw driver was ambushed and severely injured in the hands while resisting a robbery attempt.,Not specified
Satkartar Avenue (Basti Nau),House Break-in / Snatching,"A thief climbed a tree to access a rooftop, broke into a house, attacked a woman, and snatched her gold earrings.",Not specified
Urban Estate Phase-II,Snatching,A woman's purse was snatched.,Not specified
General Highways / Roads,Fatal Accidents / Criminal Negligence,"Speeding and driving under the influence of alcohol heavily contribute to severe and fatal accidents 7, 8.",A high proportion of severe crashes occur during the late-night hours (20:00 to 22:00) 7