Location,Crime Type,Specific Incident Details
Avtar Nagar,Snatching,A 22-year-old was robbed of his mobile phone by three men on a scooter 2.
Basti Sheikh,Snatching / Assault,"Gold earrings were snatched from an 80-year-old woman, leaving her injured 2."
DAV College area / Pholriwal / Khambrra,Organized Crime / Shootings,"A firing incident occurred at Sudhir Sweets, linked to overseas gang networks 4, 5."
Gandhi Vanita Ashram,Suspicious Death,A 15-year-old girl was found dead in a bathroom shortly after her admission 6.
Inter-state bus terminus,Snatching,"Numerous snatching incidents occur here, with criminals sometimes boarding moving buses to snatch gold chains from women 7."
Ladowali Road,Theft / Eve-teasing,A college girl's phone was stolen 2. The area is also notorious for eve-teasing incidents targeting school and college girls 8.
Law Gate Village Miherru (near Phagwara),Sexual Assault,A woman working as a caretaker was raped by a youth in a paying guest house 9.
Laxmipura,Theft,A bag containing cash and important documents was stolen 2.
Maqsudan,Snatching / Grievous Assault,"A man was brutally attacked and had his wrist slit by snatchers attempting to steal his phone, leading to the amputation of his hand 3."
Mehatpur,Drug-related,A local youth died from a suspected drug overdose 10.
Model Town Market,Snatching,"The market has emerged as a highly vulnerable spot for women, with a large number of snatching incidents reported 11."
Nagra village (Patel Nagar-Nagra road),Armed Robbery,"A man was followed by bike-borne criminals and robbed of ₹40,000 at gunpoint 2, 12."
Nehru Garden,Eve-teasing,High rates of eve-teasing are reported outside the city's biggest government girls' school 7.
Ram Nagar railway crossing,Robbery / Assault,"An auto-rickshaw driver was ambushed and severely injured in the hands while resisting a robbery attempt 2, 3."
Satkartar Avenue (Basti Nau),House Break-in / Snatching,"A thief climbed a tree to access a rooftop, broke into a house, attacked a woman, and snatched her gold earrings 2, 13."
Urban Estate Phase-II,Snatching,A woman's purse was snatched 2.